,TOKEN,POS
280,人,NOUN
281,之,SCONJ
282,求,VERB
283,之,PRON
284,與,PART
285,子,NOUN
286,曰,VERB
287,父,NOUN
288,在,VERB
289,觀,VERB
290,其,PRON
291,志,NOUN
292,父,NOUN
293,沒,VERB
294,觀,VERB
295,其,PRON
296,行,NOUN
297,三,NUM
298,年,NOUN
299,無,VERB
300,改,VERB
301,於,ADP
302,父,NOUN
303,之,SCONJ
304,道,NOUN
305,可,AUX
306,謂,VERB
307,孝,NOUN
308,矣,PART
309,有子,PROPN
310,曰,VERB
311,禮,NOUN
312,之,SCONJ
313,用,VERB
314,和,VERB
315,為,VERB
316,貴,NOUN
317,先,NOUN
318,王,NOUN
319,之,SCONJ
320,道,NOUN
321,斯,ADV
322,為,VERB
323,美,NOUN
324,小,VERB
325,大,ADV
326,由,VERB
327,之,PRON
328,有,VERB
329,所,PART
330,不,ADV
331,行,VERB
332,知,VERB
333,和,VERB
334,而,CCONJ
335,和,VERB
336,不,ADV
337,以,VERB
338,禮,NOUN
339,節,NOUN
340,之,SCONJ
341,亦,ADV
342,不,ADV
343,可,AUX
344,行,VERB
345,也,PART
346,有子,PROPN
347,曰,VERB
348,信,NOUN
349,近,VERB
350,於,ADP
351,義,NOUN
352,言,NOUN
353,可,AUX
354,復,VERB
355,也,PART
356,恭,VERB
357,近,VERB
358,於,ADP
359,禮,NOUN
360,遠,VERB
361,恥,VERB
362,辱,VERB
363,也,PART
364,因,ADV
365,不,ADV
366,失,VERB
367,其,PRON
368,親,NOUN
369,亦,ADV
370,可,AUX
371,宗,VERB
372,也,PART
373,子,NOUN
374,曰,VERB
375,君子,NOUN
376,食,VERB
377,無,VERB
378,求,VERB
379,飽,VERB
380,居,VERB
381,無,VERB
382,求,VERB
383,安,ADV
384,敏,VERB
385,於,ADP
386,事,NOUN
387,而,CCONJ
388,慎,VERB
389,於,ADP
390,言,NOUN
391,就,VERB
392,有,VERB
393,道,NOUN
394,而,CCONJ
395,正,VERB
396,焉,PART
397,可,AUX
398,謂,VERB
399,好,VERB
400,學,NOUN
401,也,PART
402,已,PART
403,子貢,PROPN
404,曰,VERB
405,貧,VERB
406,而,CCONJ
407,無,VERB
408,諂,VERB
409,富,VERB
410,而,CCONJ
411,無,VERB
412,驕,VERB
413,何,PROPN
414,如子,PROPN
415,曰,VERB
416,可,VERB
417,也,PART
418,未,ADV
419,若,VERB
420,貧,VERB
421,而,CCONJ
422,樂,VERB
423,富,VERB
424,而,CCONJ
425,好,VERB
426,禮,NOUN
427,者,PART
428,也,PART
429,子貢,PROPN
430,曰,VERB
431,詩,NOUN
432,云,VERB
433,如,VERB
434,切,VERB
435,如,VERB
436,磋,VERB
437,如,VERB
438,琢,VERB
439,如,VERB
440,磨,VERB
441,其,PRON
442,斯,PRON
443,之,PRON
444,謂,VERB
445,與,PART
446,子,NOUN
447,曰,VERB
448,賜,PROPN
449,也,PART
450,始,ADV
451,可,AUX
452,與,ADP
453,言,VERB
454,詩,NOUN
455,已,PART
456,矣,PART
457,告,VERB
458,諸,PRON
459,往,VERB
460,而,CCONJ
461,知,VERB
462,來,VERB
463,者,PART
464,子,NOUN
465,曰,VERB
466,不,ADV
467,患,VERB
468,人,NOUN
469,之,SCONJ
470,不,ADV
471,己,PRON
472,之,SCONJ
473,患,NOUN
474,不,ADV
475,知,VERB
476,人,NOUN
477,也,PART
478,為,VERB
479,政,NOUN
480,第,NOUN
481,二,NUM
482,子,NOUN
483,曰,VERB
484,為,VERB
485,政,NOUN
486,以,VERB
487,德,NOUN
488,譬,ADV
489,如,VERB
490,北,NOUN
491,辰,NOUN
492,居,VERB
493,其,PRON
494,所,NOUN
495,而,CCONJ
496,眾,VERB
497,星,NOUN
498,共,VERB
499,之,PRON
500,子,NOUN
501,曰,VERB
502,詩,NOUN
503,三百一,NUM
504,言,NOUN
505,以,ADV
506,蔽,VERB
507,之,PRON
508,曰,VERB
509,思,VERB
510,無,VERB
511,邪,PART
512,子,NOUN
513,曰,VERB
514,道,VERB
515,之,PRON
516,以,VERB
517,政,NOUN
518,齊,PROPN
519,之,SCONJ
520,以,VERB
521,刑,NOUN
522,民,NOUN
523,免,VERB
524,而,CCONJ
525,無,VERB
526,恥,NOUN
527,道,VERB
528,之,PRON
529,以,VERB
530,德,NOUN
531,齊,VERB
532,之,PRON
533,以,VERB
534,禮,NOUN
535,有,VERB
536,恥,NOUN
537,且,ADV
538,格,VERB
539,子,NOUN
540,曰,VERB
541,吾,PRON
542,十,NUM
543,有,ADP
544,五,NUM
545,而,CCONJ
546,志,VERB
547,於,ADP
548,學,NOUN
549,三十,NUM
550,而,CCONJ
551,立,VERB
552,四十,NUM
553,而,CCONJ
554,不,ADV
555,惑,VERB
556,五十,NUM
557,而,CCONJ
558,知,VERB
559,天,NOUN
560,命,NOUN
561,六十,NUM
562,而,PART
563,耳,PART
564,順,VERB
565,七十,NUM
566,而,CCONJ
567,從,VERB
568,心,NOUN
569,所,PART
570,欲,VERB
571,不,ADV
572,踰,VERB
573,矩,NOUN
574,孟,PROPN
575,懿子,PROPN
576,問,VERB
577,孝,VERB
578,子,NOUN
579,曰,VERB
580,無,VERB
581,違,VERB
582,樊,PROPN
583,遲,VERB
584,御,VERB
585,子,NOUN
586,告,VERB
587,之,PRON
588,曰,VERB
589,孟孫,PROPN
590,問,VERB
591,孝,NOUN
592,於,ADP
593,我,PRON
594,我,PRON
595,對,ADV
596,曰,VERB
597,無,VERB
598,違,VERB
599,樊,PROPN
600,遲,PROPN
601,曰,VERB
602,何,PRON
603,謂,VERB
604,也,PART
605,子,NOUN
606,曰,VERB
607,生,VERB
608,事,VERB
609,之,PRON
610,以,VERB
611,禮,NOUN
612,死,NOUN
613,葬,VERB
614,之,PRON
615,以,VERB
616,禮,NOUN
617,祭,VERB
618,之,PRON
619,以,VERB
620,禮,NOUN
621,孟,PROPN
622,武伯,PROPN
623,問,VERB
624,孝,VERB
625,子,NOUN
626,曰,VERB
627,父,NOUN
628,母,NOUN
629,唯,ADV
630,其,PRON
631,疾,NOUN
632,之,SCONJ
633,憂,NOUN
634,子游,PROPN
635,問,VERB
636,孝,VERB
637,子,NOUN
638,曰,VERB
639,今,NOUN
640,之,SCONJ
641,孝,VERB
642,者,PART
643,是,PRON
644,謂,VERB
645,能,AUX
646,養,VERB
647,至,VERB
648,於,ADP
649,犬,NOUN
650,馬,NOUN
651,皆,ADV
652,能,AUX
653,有,VERB
654,養,VERB
655,不,ADV
656,敬,VERB
657,何,PRON
658,以,VERB
659,別,VERB
660,乎,PART
661,子夏,PROPN
662,問,VERB
663,孝,VERB
664,子,NOUN
665,曰,VERB
666,色,NOUN
667,難,ADV
668,有,VERB
669,事,NOUN
670,弟子,NOUN
671,服,VERB
672,其,PRON
673,勞,NOUN
674,有,VERB
675,酒,NOUN
676,食,NOUN
677,先,NOUN
678,生,VERB
679,饌,NOUN
680,曾,ADV
681,是,PRON
682,以,VERB
683,為,VERB
684,孝,NOUN
685,乎,PART
686,子,NOUN
687,曰,VERB
688,吾,PRON
689,與,ADP
690,回,PROPN
691,言,VERB
692,終,VERB
693,日,NOUN
694,不,ADV
695,違,VERB
696,如愚,PROPN
697,退,VERB
698,而,CCONJ
699,省,VERB
700,其,PRON
701,私,VERB
702,亦,ADV
703,足,AUX
704,以,ADV
705,發,VERB
706,回,PROPN
707,也,PART
708,不,ADV
709,愚,VERB
710,子,NOUN
711,曰,VERB
712,視,VERB
713,其,PRON
714,所,PART
715,以,ADV
716,觀,VERB
717,其,PRON
718,所,PART
719,由,ADV
720,察,VERB
721,其,PRON
722,所,PART
723,安,VERB
724,人,NOUN
725,焉,PART
726,叟,VERB
727,哉,PART
728,人,NOUN
729,焉,PART
730,叟,NOUN
731,哉,PART
732,子,NOUN
733,曰,VERB
734,溫,VERB
735,故,ADV
736,而,CCONJ
737,知,VERB
738,新,VERB
739,可,AUX
740,以,VERB
741,為,AUX
742,師,NOUN
743,矣,PART
744,子,NOUN
745,曰,VERB
746,君子,NOUN
747,不,ADV
748,器,VERB
749,子貢,PROPN
750,問,VERB
751,君,NOUN
752,子子,PROPN
753,曰,VERB
754,先,NOUN
755,行,VERB
756,其,PRON
757,言,NOUN
758,而,CCONJ
759,後,NOUN
760,從,VERB
761,之,PRON
762,子,NOUN
763,曰,VERB
764,君子,NOUN
765,周,VERB
766,而,CCONJ
767,不,ADV
768,比,VERB
769,小,VERB
770,人,NOUN
771,比,VERB
772,而,CCONJ
773,不,ADV
774,周,VERB
775,子,NOUN
776,曰,VERB
777,學,VERB
778,而,CCONJ
779,不,ADV
780,思,VERB
781,則,ADV
782,罔,VERB
783,思,VERB
784,而,CCONJ
785,不,ADV
786,學,VERB
787,則,ADV
788,殆,VERB
789,子,NOUN
790,曰,VERB
791,攻,VERB
792,乎,ADP
793,異,VERB
794,端,NOUN
795,斯,PRON
796,害,VERB
797,也,PART
798,己,PRON
799,子,NOUN
800,曰,VERB
801,由,ADP
802,誨,PROPN
803,女,NOUN
804,知,VERB
805,之,PRON
806,乎,PART
807,知,VERB
808,之,PRON
809,為,VERB
810,知,VERB
811,之,PRON
812,不,ADV
813,知,VERB
814,為,VERB
815,不,ADV
816,知,VERB
817,是,PRON
818,知,VERB
819,也,PART
820,子,NOUN
821,張,PROPN
822,學干,PROPN
823,祿子,PROPN
824,曰,VERB
825,多,ADV
826,聞,VERB
827,闕,NOUN
828,疑,VERB
829,慎,ADV
830,言,VERB
831,其,PRON
832,餘,NOUN
833,則,ADV
834,寡,VERB
835,尤,ADV
836,多,ADV
837,見,VERB
838,闕,NOUN
839,殆,ADV
840,慎,ADV
841,行,VERB
842,其,PRON
843,餘,NOUN
844,則,ADV
845,寡,ADV
846,悔,VERB
847,言,VERB
848,寡,VERB
849,尤,VERB
850,行,VERB
851,寡,VERB
852,悔,VERB
853,祿,NOUN
854,在,VERB
855,其,PRON
856,中,NOUN
857,矣,PART
858,哀,PROPN
859,公,NOUN
860,聞,VERB
861,曰,VERB
862,何,PRON
863,為,ADP
864,則,ADV
865,民,NOUN
866,服,VERB
867,孔子,PROPN
868,對,ADV
869,曰,VERB
870,舉,VERB
871,直,ADV
872,錯,VERB
873,諸,NOUN
874,枉,VERB
875,則,ADV
876,民,NOUN
877,服,VERB
878,舉,VERB
879,枉,ADV
880,錯,VERB
881,諸,NOUN
882,直,VERB
883,則,ADV
884,民,NOUN
885,不,ADV
886,服,VERB
887,季,PROPN
888,康子,PROPN
889,問,VERB
890,使,VERB
891,民,NOUN
892,敬,VERB
893,忠,NOUN
894,以,ADV
895,勸,VERB
896,如,VERB
897,之,PRON
898,何,PRON
899,子,NOUN
900,曰,VERB
901,臨,VERB
902,之,PRON
903,以,VERB
904,莊,VERB
905,則,ADV
906,敬,VERB
907,孝,NOUN
908,慈,NOUN
909,則,ADV
910,忠,VERB
911,舉,VERB
912,善,NOUN
913,而,CCONJ
914,教,VERB
915,不,ADV
916,能,AUX
917,則,ADV
918,勸,VERB
919,或,PRON
920,謂,VERB
921,孔子,PROPN
922,曰,VERB
923,子,PRON
924,奚,ADV
925,不,ADV
926,為,VERB
927,政,NOUN
928,子,NOUN
929,曰,VERB
930,書,NOUN
931,云,VERB
932,孝,NOUN
933,乎,PART
934,惟,ADV
935,孝,VERB
936,友,NOUN
937,于,ADP
938,兄,NOUN
939,弟,NOUN
940,施,VERB
941,於,ADP
942,有,VERB
943,政,NOUN
944,是,PRON
945,亦,ADV
946,為,VERB
947,政,NOUN
948,奚,ADV
949,其,PRON
950,為,VERB
951,為,VERB
952,政,NOUN
953,子,NOUN
954,曰,VERB
955,人,NOUN
956,而,CCONJ
957,無,VERB
958,信,NOUN
959,不,ADV
960,知,VERB
961,其,PRON
962,可,VERB
963,也,PART
964,大,VERB
965,車,NOUN
966,無,VERB
967,輗,NOUN
968,小,VERB
969,車,NOUN
970,無,VERB
971,軏,NOUN
972,其,PRON
973,何,PRON
974,以,VERB
975,行,VERB
976,之,PRON
977,哉,PART
978,子張,PROPN
979,問,VERB
980,十,NUM
981,世,NOUN
982,可,AUX
983,知,VERB
984,也,PART
985,子,NOUN
986,曰,VERB
987,殷,PROPN
988,因,VERB
989,於,ADP
990,夏,PROPN
991,禮,NOUN
992,所,PART
993,損,VERB
994,益,ADV
995,可,AUX
996,知,VERB
997,也,PART
998,周,PROPN
999,因,VERB
1000,於,ADP
1001,殷,PROPN
1002,禮,NOUN
1003,所,PART
1004,損,VERB
1005,益,ADV
1006,可,AUX
1007,知,VERB
1008,也,PART
1009,其,PRON
1010,或,PRON
1011,繼,VERB
1012,周,PROPN
1013,者,PART
1014,雖,ADV
1015,百,NUM
1016,世,NOUN
1017,可,AUX
1018,知,VERB
1019,也,PART
1020,子,NOUN
1021,曰,VERB
1022,非,ADV
1023,其,PRON
1024,鬼,NOUN
1025,而,CCONJ
1026,祭,VERB
1027,之,PRON
1028,諂,VERB
1029,也,PART
1030,見,VERB
1031,義,NOUN
1032,不,ADV
1033,為,VERB
1034,無,VERB
1035,勇,NOUN
1036,也,PART
1037,八,NUM
1038,佾,NOUN
1039,第,NOUN
1040,三,NUM
1041,孔子,PROPN
1042,謂,VERB
1043,季,PROPN
1044,氏,NOUN
1045,八,NUM
1046,佾,NOUN
1047,舞,VERB
1048,於,ADP
1049,庭,NOUN
1050,是,PRON
1051,可,AUX
1052,忍,VERB
1053,也,PART
1054,孰,PRON
1055,不,ADV
1056,可,AUX
1057,忍,VERB
1058,也,PART
1059,三,NUM
1060,家,NOUN
1061,者,PART
1062,以,VERB
1063,雍,PROPN
1064,徹,VERB
1065,子,NOUN
1066,曰,VERB
1067,相,VERB
1068,維,PROPN
1069,辟,VERB
1070,公,NOUN
1071,天,NOUN
1072,子,NOUN
1073,穆,VERB
1074,穆,NOUN
1075,奚,ADV
1076,取,VERB
1077,於,ADP
1078,三,NUM
1079,家,NOUN
1080,之,SCONJ
1081,堂,NOUN
1082,子,NOUN
1083,曰,VERB
1084,人,NOUN
1085,而,CCONJ
1086,不,ADV
1087,仁,VERB
1088,如,VERB
1089,禮,NOUN
1090,何,PRON
1091,人,NOUN
1092,而,CCONJ
1093,不,ADV
1094,仁,VERB
1095,如,VERB
1096,樂,NOUN
1097,何,PRON
1098,林,NOUN
1099,放,VERB
1100,問,VERB
1101,禮,NOUN
1102,之,SCONJ
1103,本,NOUN
1104,子,NOUN
1105,曰,VERB
1106,大,VERB
1107,哉,PART
1108,問,VERB
1109,禮,NOUN
1110,與,ADP
1111,齊,VERB
1112,奢,VERB
1113,也,PART
1114,寧,ADV
1115,儉,VERB
1116,喪,NOUN
1117,與,ADP
1118,其,PRON
1119,易,VERB
1120,也,PART
1121,寧,VERB
1122,戚,VERB
1123,子,NOUN
1124,曰,VERB
1125,夷狄,PROPN
1126,之,SCONJ
1127,有,VERB
1128,君,NOUN
1129,不,ADV
1130,如,VERB
1131,諸,NOUN
1132,夏,PROPN
1133,之,SCONJ
1134,亡,VERB
1135,也,PART
1136,季,PROPN
1137,氏,NOUN
1138,旅,VERB
1139,於,ADP
1140,泰山,PROPN
1141,子,NOUN
1142,謂,VERB
1143,冉,PROPN
1144,有,PROPN
1145,曰,VERB
1146,女,PRON
1147,弗,ADV
1148,能,AUX
1149,救,VERB
1150,與,PART
1151,對,ADV
1152,曰,VERB
1153,不,ADV
1154,能,AUX
1155,子,NOUN
1156,曰,VERB
1157,嗚,INTJ
1158,呼,INTJ
1159,曾,ADV
1160,謂,VERB
1161,泰山,PROPN
1162,不,ADV
1163,如,VERB
1164,林,NOUN
1165,放,VERB
1166,乎,PART
1167,子,NOUN
1168,曰,VERB
1169,君子,NOUN
1170,無,VERB
1171,所,PART
1172,爭,VERB
1173,必,ADV
1174,也,PART
1175,射,VERB
1176,乎,PART
1177,揖,VERB
1178,讓,VERB
1179,而,CCONJ
1180,升,VERB
1181,下,NOUN
1182,而,CCONJ
1183,飲,VERB
1184,其,PRON
1185,爭,VERB
1186,也,PART
1187,君子,NOUN
1188,子夏,PROPN
1189,問,VERB
1190,曰,VERB
1191,巧,ADV
1192,笑,VERB
1193,倩,VERB
1194,兮,PART
1195,美,VERB
1196,目,NOUN
1197,盼,VERB
1198,兮,PART
1199,素,ADV
1200,以,ADV
1201,為,VERB
1202,絢,NOUN
1203,兮,PART
1204,何,PRON
1205,為,VERB
1206,也,PART
1207,子,NOUN
1208,曰,VERB
1209,繪,VERB
1210,事,NOUN
1211,后,NOUN
1212,素,VERB
1213,曰,VERB
1214,禮,NOUN
1215,后,NOUN
1216,乎,PART
1217,子,NOUN
1218,曰,VERB
1219,起,VERB
1220,予,PRON
1221,者,PART
1222,商,PROPN
1223,也,PART
1224,始,ADV
1225,可,AUX
1226,與,ADP
1227,言,VERB
1228,詩,NOUN
1229,矣,PART
1230,子,NOUN
1231,曰,VERB
1232,夏,PROPN
1233,禮,NOUN
1234,吾,PRON
1235,能,AUX
1236,言,VERB
1237,之,PRON
1238,杞,PROPN
1239,不,ADV
1240,足,AUX
1241,徵,VERB
1242,也,PART
1243,殷,PROPN
1244,禮,NOUN
1245,吾,PRON
1246,能,AUX
1247,言,VERB
1248,之,PRON
1249,宋,PROPN
1250,不,ADV
1251,足,AUX
1252,徵,VERB
1253,也,PART
1254,文獻,PROPN
1255,不,ADV
1256,足,AUX
1257,故,VERB
1258,也,PART
1259,足,NOUN
1260,則,ADV
1261,吾,PRON
1262,能,AUX
1263,徵,VERB
1264,之,PRON
1265,矣,PART
1266,子,NOUN
1267,曰,VERB
1268,禘,NOUN
1269,自,PRON
1270,既,ADV
1271,灌,VERB
1272,而,CCONJ
1273,往,VERB
1274,者,PART
1275,吾,PRON
1276,不,ADV
1277,欲,AUX
1278,觀,VERB
1279,之,PRON
1280,矣,PART
1281,或,PRON
1282,問,VERB
1283,禘,NOUN
1284,之,SCONJ
1285,說,NOUN
1286,子,NOUN
1287,曰,VERB
1288,不,ADV
1289,知,VERB
1290,也,PART
1291,知,VERB
1292,其,PRON
1293,說,NOUN
1294,者,PART
1295,之,SCONJ
1296,於,VERB
1297,天,NOUN
1298,下,NOUN
1299,也,PART
1300,其,PRON
1301,如,VERB
1302,示,VERB
1303,諸,PRON
1304,斯,PRON
1305,乎,PART
1306,指,VERB
1307,其,PRON
1308,掌,NOUN
1309,祭,NOUN
1310,如,VERB
1311,在,VERB
1312,祭,NOUN
1313,神,NOUN
1314,如,VERB
1315,神,NOUN
1316,在,VERB
1317,子,NOUN
1318,曰,VERB
1319,吾,PRON
1320,不,ADV
1321,與,ADP
1322,祭,NOUN
1323,如,VERB
1324,不,ADV
1325,祭,VERB
1326,王,NOUN
1327,孫,PROPN
1328,賈,PROPN
1329,問,ADV
1330,曰,VERB
1331,與,ADP
1332,其,PRON
1333,媚,VERB
1334,於,ADP
1335,奧,NOUN
1336,寧,ADV
1337,媚,VERB
1338,於,ADP
1339,灶,NOUN
1340,何,PRON
1341,謂,VERB
1342,也,PART
1343,子,NOUN
1344,曰,VERB
1345,不,ADV
1346,然,VERB
1347,獲,VERB
1348,罪,NOUN
1349,於,ADP
1350,天,NOUN
1351,吾,PRON
1352,所,PART
1353,禱,VERB
1354,也,PART
1355,子,NOUN
1356,曰,VERB
1357,周,PROPN
1358,監,VERB
1359,於,ADP
1360,二,NUM
1361,代,NOUN
1362,郁,VERB
1363,郁,VERB
1364,乎,PART
1365,文,VERB
1366,哉,PART
1367,吾,PRON
1368,從,VERB
1369,周,PROPN
1370,子,NOUN
1371,入,VERB
1372,大,VERB
1373,廟,NOUN
1374,每,ADV
1375,事,NOUN
1376,問,VERB
1377,或,PRON
1378,曰,VERB
1379,孰,PRON
1380,謂,VERB
1381,鄹,VERB
1382,人,NOUN
1383,之,SCONJ
1384,子,NOUN
1385,知,VERB
1386,禮,NOUN
1387,乎,PART
1388,入,VERB
1389,大,VERB
1390,廟,NOUN
1391,每,ADV
1392,事,NOUN
1393,問,VERB
1394,子,NOUN
1395,聞,VERB
1396,之,PRON
1397,曰,VERB
1398,是,PRON
1399,禮,NOUN
1400,也,PART
1401,子,NOUN
1402,曰,VERB
1403,射,VERB
1404,不,ADV
1405,主,VERB
1406,皮,NOUN
1407,為,VERB
1408,力,NOUN
1409,不,ADV
1410,同,VERB
1411,科,NOUN
1412,古,NOUN
1413,之,SCONJ
1414,道,NOUN
1415,也,PART
1416,子貢,PROPN
1417,欲,AUX
1418,去,VERB
1419,告,VERB
1420,朔,NOUN
1421,之,SCONJ
1422,餼,NOUN
1423,羊,NOUN
1424,子,NOUN
1425,曰,VERB
1426,賜,PROPN
1427,也,PART
1428,爾,PRON
1429,愛,VERB
1430,其,PRON
1431,羊,NOUN
1432,我,PRON
1433,愛,VERB
1434,其,PRON
1435,禮,NOUN
1436,子,NOUN
1437,曰,VERB
1438,事,VERB
1439,君,NOUN
1440,盡,VERB
1441,禮,NOUN
1442,人,NOUN
1443,以,ADV
1444,為,VERB
1445,諂,VERB
1446,也,PART
1447,定,PROPN
1448,公,NOUN
1449,問,VERB
1450,君,NOUN
1451,使,VERB
1452,臣,NOUN
1453,臣,NOUN
1454,事,VERB
1455,君,NOUN
1456,如,VERB
1457,之,PRON
1458,何,PRON
1459,孔子,PROPN
1460,對,ADV
1461,曰,VERB
1462,君,NOUN
1463,使,VERB
1464,臣,NOUN
1465,以,VERB
1466,禮,NOUN
1467,臣,NOUN
1468,事,VERB
1469,君,NOUN
1470,以,VERB
1471,忠,NOUN
1472,子,NOUN
1473,曰,VERB
1474,關,PROPN
1475,睢,PROPN
1476,樂,VERB
1477,而,CCONJ
1478,不,ADV
1479,淫,VERB
1480,哀,VERB
1481,而,CCONJ
1482,不,ADV
1483,傷,VERB
1484,哀,PROPN
1485,公,NOUN
1486,問,VERB
1487,社,NOUN
1488,於,ADP
1489,宰,NOUN
1490,我,PRON
1491,宰,PROPN
1492,我,PROPN
1493,對,ADV
1494,曰,VERB
1495,夏,PROPN
1496,后,NOUN
1497,氏,NOUN
1498,以,VERB
1499,松,NOUN
1500,殷,PROPN
1501,人,NOUN
1502,以,VERB
1503,柏,NOUN
1504,周,VERB
1505,人,NOUN
1506,以,VERB
1507,栗,NOUN
1508,曰,VERB
1509,使,VERB
1510,民,NOUN
1511,戰,VERB
1512,栗,NOUN
1513,子,NOUN
1514,聞,VERB
1515,之,PRON
1516,曰,VERB
1517,成,VERB
1518,事,NOUN
1519,不,ADV
1520,說,VERB
1521,遂,ADV
1522,事,NOUN
1523,不,ADV
1524,諫,VERB
1525,既,ADV
1526,往,VERB
1527,不,ADV
1528,咎,VERB
1529,子,NOUN
1530,曰,VERB
1531,管,PROPN
1532,仲,PROPN
1533,之,SCONJ
1534,器,NOUN
1535,小,VERB
1536,哉,PART
1537,或,PRON
1538,曰,VERB
1539,管,PROPN
1540,仲,PROPN
1541,儉,VERB
1542,乎,PART
1543,曰,VERB
1544,管,PROPN
1545,氏,NOUN
1546,有,VERB
1547,三,NUM
1548,歸,VERB
